HNum,Rh,Rm,RAs,Dd,Dm,Ds,Vmag,plx,plxe,BV,BVe,CNum,HD,BD
60049,12,18,54.4,60,56,36.7,10.27,5.54,1.33,0.523,0.047,,,B+61 1290
60050,12,18,54.5,30,28,5.8,9.59,5.97,1.54,0.48,0.015,,,B+31 2351
60061,12,19,0.9,28,2,53.8,8.97,18.85,1.23,0.748,0.005,,,B+28 2103
60071,12,19,5.5,32,45,15.8,9.63,6.24,1.38,0.413,0.019,,,B+33 2221
60079,12,19,11.8,52,32,8.8,8.62,9.88,1.09,0.796,0.013,,107167,B+53 1538
60081,12,19,13.5,-3,19,10.8,8.01,19.51,1,0.707,0.013,,107148,B- 2 3497
60091,12,19,22.2,17,43,43.6,8.05,9.33,1.42,0.461,0.016,12194+1744,107169,B+18 2589
60092,12,19,23.6,9,27,52.8,9.03,5.13,1.12,0.483,0.025,,107173,B+10 2406
60093,12,19,24.5,28,22,55.8,10.62,40.58,1.94,1.439,0.011,,,B+29 2279
60094,12,19,24.9,39,37,28.8,8.38,14.85,1.03,0.665,0.005,,107211,B+40 2524
60096,12,19,27.3,-26,6,25.7,8.43,12.12,1.08,0.737,0.017,,107181,
60098,12,19,29.6,28,9,26,6.38,20.12,0.77,0.523,0.006,,107213,B+28 2106
60101,12,19,31.4,40,56,22.2,7.86,13.4,0.84,0.511,0.011,,107224,B+41 2289
60104,12,19,36.1,-36,43,11.8,10.18,18.86,1.45,1.155,0.015,,,
60130,12,19,54.6,10,29,3.9,8.39,9.92,0.98,0.57,0.015,,107257,B+11 2450
60141,12,19,59.1,4,27,25.6,9.56,11.01,1.35,0.653,0.039,,,B+ 5 2613
60147,12,20,4,-8,7,33.4,8.83,7.49,1.14,0.52,0.025,,107280,B- 7 3388
60149,12,20,4.8,-37,48,11.5,7.67,15.88,0.84,0.546,0.009,,107263,
60152,12,20,6.1,15,42,53.8,8.04,15.42,0.92,0.499,0.016,,107303,B+16 2360
60155,12,20,9.9,-14,7,31.1,8.32,15.19,1.93,0.595,0.019,12202-1408,107293,B-13 3520
60158,12,20,11.5,53,35,8,9.11,8.12,1.2,0.691,0.018,,107323,B+54 1514
60173,12,20,21.5,64,46,34.9,9.17,4.82,0.99,0.633,0.023,,,B+65 878
60186,12,20,33.5,31,8,4.7,11.62,21.26,3.1,1.594,0.4,,,
60187,12,20,33.5,-30,26,20,8.49,12.63,1.16,0.571,0.015,,107352,
60194,12,20,39.3,-3,59,42,7.94,13.25,0.97,0.526,0.015,,107365,B- 3 3268
60205,12,20,44.2,-52,15,24.9,10.06,8.42,1.99,0.521,0.042,,,
60207,12,20,47,-19,53,45.3,8.99,33.64,1.27,1.009,0.002,,107388,B-19 3466
60208,12,20,47.6,-19,50,29.6,10.38,7.07,1.71,0.665,0.015,,107387,B-19 3465
60217,12,20,53.9,-15,48,54.7,8.07,13.5,0.87,0.528,0.015,,107404,B-15 3452
60226,12,21,1.7,34,0,3.7,9.84,6.04,1.58,0.57,0.015,,,B+34 2307
60230,12,21,3.5,25,1,52.7,7.31,20.05,0.84,0.88,0.005,,107469,B+25 2493
60232,12,21,3.9,-72,48,55,9.27,6.75,1.04,0.494,0.009,,107359,
60242,12,21,10.2,31,18,8,8.68,8.99,1.15,0.552,0.002,,107487,B+32 2234
60247,12,21,12.8,5,29,25.1,9.19,6.95,1.31,0.526,0.015,,107472,B+ 6 2594
60263,12,21,24.2,-50,58,11.6,9.67,5.94,1.52,0.613,0.023,,107479,
60264,12,21,24.5,2,43,41.7,8.41,10.21,1.06,0.829,0.015,,107498,B+ 3 2635
60265,12,21,24.9,34,2,43.6,10.95,25.72,2.16,1.572,0.082,,,
60269,12,21,28.5,61,28,7.3,9.28,9.31,1.16,0.618,0.027,,107548,B+62 1226
60272,12,21,29.5,7,49,7.2,9.54,6.74,1.46,0.491,0.039,,107516,B+ 8 2589
60274,12,21,32.3,24,30,43.1,8.94,9.22,1.18,0.471,0.007,,107531,B+25 2496
60277,12,21,34.3,-9,23,59.6,8.26,11.88,0.9,0.724,0.015,12216-0924,107517,B- 8 3333
60285,12,21,44.4,43,13,11.5,10.47,8.58,1.73,0.599,0.057,,,B+44 2187
60286,12,21,44.6,39,23,48.5,10.32,17.04,1.51,0.863,0.015,,,B+40 2528
60288,12,21,44.7,-61,32,19,7.91,14.65,0.82,0.57,0.001,,107509,
60293,12,21,49,26,32,56.8,9.31,11.43,1.24,0.586,0.007,,107583,B+27 2117
60294,12,21,49.2,-49,40,0.4,10.13,8.51,1.91,0.709,0.037,,,
60303,12,21,53.9,42,8,6.5,9.36,62.54,1.26,1.354,0.011,,107596,B+42 2296
60304,12,21,56.1,27,18,34.3,8.51,10.76,1.08,0.463,0.007,,107611,B+28 2109
60307,12,21,56.3,14,50,40.6,9.55,5.39,1.35,0.46,0.015,,107598,B+15 2454
60310,12,21,59.8,-41,3,32.3,8.54,41.49,1.23,1.064,0.002,,107576,
60314,12,22,2.6,34,15,21.1,8.78,14.23,1.26,0.63,0.015,,107633,B+35 2334
60317,12,22,4.6,-31,56,45.5,8.27,16.24,1.15,0.596,0.015,,107602,
60325,12,22,8.8,11,34,6.9,9.97,22.37,1.56,1.04,0.015,,107637,B+12 2457
60326,12,22,9.2,18,22,15.5,10.32,6.27,1.82,0.657,0.059,,,B+19 2555
60330,12,22,12.7,-83,19,11.7,8.9,6.59,0.82,0.446,0.016,,107378,
60337,12,22,17.2,3,17,51.6,7.99,15.91,0.98,0.5,0.013,12223+0318,107658,B+ 4 2609
60341,12,22,20.7,-2,46,34.2,8.86,8.69,1.22,0.506,0.026,,107659,B- 1 2657
60343,12,22,21.7,25,10,13.6,11.35,33.15,2.54,1.35,0.015,,,
60346,12,22,23.7,32,36,45.6,9.54,24.9,1.43,0.94,0.015,,,B+33 2227
60355,12,22,32.9,16,21,29.7,9.53,13.7,1.33,0.8,0.015,,,B+17 2470
60357,12,22,34.1,27,36,17.2,10.89,32.22,2.04,1.473,0.133,,,B+28 2110
60378,12,22,49,0,14,59,9.4,6.2,1.37,0.465,0.037,,107745,B+ 0 2935
60391,12,22,59.2,-50,0,45.3,9.33,10.69,1.36,0.682,0.019,,107735,
60399,12,23,1.3,-5,35,11.5,8.91,7.92,1.44,0.59,0.02,,107766,B- 4 3266
60400,12,23,4.4,30,36,38.1,9.28,7.22,1.38,0.53,0.015,,,B+31 2358
60409,12,23,10.4,-4,54,42.5,9.73,9.05,1.47,0.66,0.02,,107779,B- 4 3267
60410,12,23,11.2,-1,54,52.3,9.95,6.73,1.68,0.809,0.052,,,B- 1 2659
60411,12,23,12,42,43,12.4,8.87,11.27,1.15,0.548,0.015,,107824,B+43 2216
60422,12,23,20.3,-35,3,3.7,12,20.18,3.39,1.415,0.016,,,
60427,12,23,24.6,52,9,13.6,9.76,13.36,1.3,0.845,0.031,,233932,B+52 1625
60431,12,23,26.6,68,4,13.9,9.18,7.88,0.86,0.488,0.022,,107886,B+68 683
60433,12,23,27.1,20,17,27.7,10.02,22.31,1.54,1.07,0.015,,,B+21 2415
60436,12,23,27.5,-6,7,8.2,7.18,16.25,0.91,0.477,0.01,,107830,B- 5 3487
60440,12,23,30.5,0,42,46.2,8.68,14.6,1.13,0.501,0.015,,107842,B+ 1 2689
60441,12,23,30.7,17,21,20.6,9.03,8.08,1.19,0.523,0.015,,,B+18 2602
60445,12,23,32.8,13,55,21.3,8.98,9.12,1.88,0.64,0.015,12235+1355,107855,B+14 2497
60447,12,23,34.7,-59,32,30.3,8.38,12.36,1.01,0.863,0.014,,107820,
60448,12,23,34.8,27,54,46.6,11.33,30.02,2.58,1.474,0.133,,,
60458,12,23,41,26,58,47.8,8.37,12.54,1.09,0.448,0.008,,107877,B+27 2122
60462,12,23,42.7,-30,46,35.5,9.42,24.35,1.55,0.84,0.002,,107859,
60475,12,23,53.5,12,34,50.4,10.39,47.11,1.95,1.442,0.02,,107888,B+13 2529a
60480,12,23,55.4,-46,40,40.4,9.29,12.97,1.31,0.648,0.003,,107871,
60492,12,24,4.7,2,17,52.4,9.89,5.51,1.38,0.59,0.02,,,B+ 3 2639
60496,12,24,9.1,36,19,48.5,9.77,5.54,1.28,0.45,0.043,,,B+37 2271
60501,12,24,11.9,3,55,51.5,10.7,21.36,1.99,1.577,0.082,,,B+ 4 2612
60504,12,24,14.3,60,49,55.5,8.74,11.9,0.94,0.601,0.015,,108019,B+61 1293
60505,12,24,15.1,-78,22,0.2,8.81,13.41,0.78,0.724,0.018,,107806,
60510,12,24,16.7,10,17,30.9,9.65,14.69,1.45,0.734,0.037,,107951,B+11 2453
60512,12,24,17.9,-45,2,14.1,9.59,16.91,1.57,0.911,0.033,,107915,
60519,12,24,21.6,-25,12,40,8.06,15.03,0.98,0.475,0.015,,107956,
60523,12,24,25.5,53,26,54,10.77,6.71,1.77,0.68,0.055,,,B+54 1525
60527,12,24,28.3,11,10,5,9.06,6.32,1.29,0.537,0.031,,107987,B+11 2454
60528,12,24,29.1,59,31,3,9,6.82,0.99,0.44,0.015,,108056,B+60 1398
60529,12,24,30,31,16,49.1,8.81,18.39,1.16,0.742,0.009,,108021,B+32 2241
60530,12,24,30.3,34,57,58.3,10.07,11.47,1.78,0.685,0.044,,,B+35 2336
60531,12,24,30.4,22,9,54.2,8.89,9.12,1.14,0.514,0.025,,108008,B+22 2467
60541,12,24,39.4,5,2,7.9,7.97,20.97,0.94,0.578,0.016,,108024,B+ 5 2624
60569,12,24,55.7,33,31,44.4,9.34,6.42,1.37,0.453,0.019,,108090,B+34 2311
60575,12,24,59.1,-43,2,25.6,9.93,5.85,1.65,0.822,0.053,,108048,
60593,12,25,9.7,46,55,17.4,9.74,6.7,1.65,0.538,0.029,,,B+47 1959
60602,12,25,18,-1,4,11.7,9.1,7.13,1.38,0.541,0.032,,108125,B- 0 2570
60605,12,25,18.7,31,51,53.4,8.73,34.64,1.12,0.897,0.008,,108153,B+32 2244
60607,12,25,20.7,11,54,35.7,8.82,12.61,1.29,0.573,0.015,,108137,B+12 2465
60608,12,25,21.2,14,39,4.9,10.17,5.84,1.66,0.595,0.064,,,B+15 2462
60620,12,25,26.9,-13,20,14.7,8.96,19.13,1.56,1,0.495,12254-1320,108139,B-12 3634
60633,12,25,35,21,49,57.8,10.05,24.07,1.5,1.13,0.015,,,B+22 2471
60635,12,25,36.1,-26,48,40.8,7.69,15.27,0.89,0.488,0.015,,108163,
60642,12,25,43.5,-25,46,4.1,10.07,20.14,1.64,0.97,0.003,,,
60644,12,25,46.5,-64,1,19,6.99,25.93,0.69,0.537,0.01,,108147,
60645,12,25,49.8,-4,51,42.8,8.19,14.31,1.19,0.498,0.015,,108203,B- 4 3276
60648,12,25,51.2,-1,6,37.4,10.26,26.04,1.92,1.202,0.013,,108202,B- 0 2573
60649,12,25,51.9,26,46,36.1,8.34,11.39,1.09,0.449,0.008,,108226,B+27 2129
60652,12,25,53.4,62,10,55.6,9.65,22.65,1.17,0.924,0.038,,,B+62 1236
60653,12,25,54.3,-17,14,53.9,8.72,14.82,1.03,0.636,0.019,,108204,B-16 3459
60658,12,25,56.3,-45,25,45.9,9.49,12.11,1.4,0.692,0.025,,108195,
60659,12,25,57.3,42,22,1,8.96,8.54,1.29,0.387,0.02,,108253,B+43 2223
60661,12,25,58.6,8,3,45,10.34,25.08,1.85,1.254,0.008,,,B+ 8 2599
60677,12,26,6.7,-50,16,38.4,10.08,6.76,1.93,0.63,0.056,,,
60678,12,26,7.6,52,40,35.9,8.31,9.74,0.88,0.494,0.011,,108271,B+53 1547
60682,12,26,11,-37,41,26.3,9.02,10.11,1.28,0.488,0.002,,108231,
60686,12,26,15.7,51,19,14.8,10.05,6.66,1.46,0.437,0.037,,233940,B+52 1628
60690,12,26,19.1,-7,19,48.3,8.29,12.51,0.97,0.486,0.015,,108264,B- 6 3570
60706,12,26,30.4,18,53,25.2,9.05,11.97,1.39,0.602,0.028,,108300,B+19 2568
60707,12,26,31.1,52,28,36.6,9.6,7.05,2.1,0.684,0.025,12265+5229,,B+53 1549
60721,12,26,37.8,-44,33,35.9,9.34,7.86,1.35,0.709,0.021,,108279,
60729,12,26,48.7,-48,54,46.8,6.25,37.5,0.72,0.674,0.002,,108309,
60739,12,26,53.9,69,43,47.8,8.47,18.83,0.81,0.658,0.017,,108436,B+70 698
60740,12,26,55.2,-29,3,55.1,9.56,9.21,1.54,0.67,0.02,,108337,
60753,12,27,2.6,-22,23,23,7.89,11.35,0.86,0.523,0.015,,108351,B-21 3541
60756,12,27,7,-30,39,56.2,9.43,17.36,1.42,0.703,0.003,,108365,
60764,12,27,19.6,75,24,12.7,10.56,23.99,1.37,1.2,0.015,12274+7524,,
60773,12,27,25,-41,29,40.2,9.44,14.13,1.24,0.618,0.023,,108403,
60784,12,27,30.3,11,8,10.8,9.08,5.22,1.2,0.55,0.026,,108438,B+11 2464
60788,12,27,31.6,-71,25,23.7,9.38,19.36,1.04,0.92,0.028,,108341,
60792,12,27,34.2,37,34,31.4,10.36,6.35,1.78,0.565,0.046,,,B+38 2338
60802,12,27,40.2,-15,46,3.9,10.67,19.66,1.72,1.13,0.015,,,B-14 3519
60810,12,27,49.7,46,48,53.3,9.29,6.61,1.51,0.68,0.015,,,B+47 1963
60811,12,27,50.2,-25,19,41.6,8.71,11.62,1.35,0.562,0.002,,108479,
60829,12,28,4.2,-15,39,6.4,8.31,21.67,0.93,0.71,0.012,,108523,B-14 3521
60830,12,28,4.4,23,8,36.4,9.99,11.22,1.71,0.65,0.015,,,B+23 2463
60836,12,28,10.7,15,37,6.6,8.59,6.92,1.12,0.42,0.015,,108548,B+16 2377
60840,12,28,13.8,25,2,0.8,8.95,8.15,1.26,0.559,0.001,,108576,B+25 2510
60864,12,28,30.8,-33,59,6.9,9.35,9.31,1.25,0.525,0.024,,108565,
60865,12,28,31,35,16,36.8,12.12,12.58,3.13,1.3,0.2,,,
60866,12,28,31.4,-18,17,48.7,9.24,40.09,1.23,1.218,0.009,,108581,B-17 3632
60868,12,28,33.4,47,58,0.3,8.76,8.56,1.05,0.403,0.013,,108640,B+48 2026
60878,12,28,37.4,-12,1,55.9,9.6,7.96,1.33,0.44,0.055,12299-1203,108597,B-11 3308
60882,12,28,39,-69,12,41.5,9.43,4.8,1.09,0.561,0.025,,,
60888,12,28,43.4,-54,8,25.7,9,9.06,1.18,0.542,0.014,,108590,
60907,12,28,56.5,-67,39,38.5,8.53,9.99,0.96,0.506,0.015,,108572,
60910,12,28,57.9,8,25,34.1,11.99,73.77,3.67,1.668,0.02,,,
60911,12,29,0.5,-43,14,2.8,8.3,9.69,1.1,0.574,0.012,,108637,
60927,12,29,15.1,34,42,12.2,7.57,10.8,0.87,0.574,0.011,,108713,B+35 2343
60928,12,29,15.2,35,31,55.3,8.52,6.46,1.09,0.489,0.016,,108712,B+36 2270
60930,12,29,18.9,-30,50,23.4,9.06,25.66,1.34,0.784,0.007,,108682,
60935,12,29,21.2,-39,39,18.5,7.76,11.38,0.87,0.451,0.015,,108684,
60946,12,29,33,56,19,56.6,7.73,16.82,0.77,0.635,0.009,,108793,B+57 1376
60953,12,29,40,0,9,43.9,11.36,20.25,2.62,1.029,0.016,,,
60955,12,29,42.8,30,1,19.6,9.47,11.05,1.29,0.52,0.015,,,B+30 2283
60958,12,29,44,-31,8,56.1,8.57,15.93,1.11,0.527,0.019,,108726,
